,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,mpg²,acceleration²
215,13.0,8,318.0,150.0,3755,14.0,76,usa,dodge d100,169.0,196.0
216,31.5,4,98.0,68.0,2045,18.5,77,japan,honda accord cvcc,992.25,342.25
217,30.0,4,111.0,80.0,2155,14.8,77,usa,buick opel isuzu deluxe,900.0,219.04000000000002
218,36.0,4,79.0,58.0,1825,18.6,77,europe,renault 5 gtl,1296.0,345.96000000000004
219,25.5,4,122.0,96.0,2300,15.5,77,usa,plymouth arrow gs,650.25,240.25
220,33.5,4,85.0,70.0,1945,16.8,77,japan,datsun f-10 hatchback,1122.25,282.24
221,17.5,8,305.0,145.0,3880,12.5,77,usa,chevrolet caprice classic,306.25,156.25
222,17.0,8,260.0,110.0,4060,19.0,77,usa,oldsmobile cutlass supreme,289.0,361.0
223,15.5,8,318.0,145.0,4140,13.7,77,usa,dodge monaco brougham,240.25,187.68999999999997
224,15.0,8,302.0,130.0,4295,14.9,77,usa,mercury cougar brougham,225.0,222.01000000000002
225,17.5,6,250.0,110.0,3520,16.4,77,usa,chevrolet concours,306.25,268.96
226,20.5,6,231.0,105.0,3425,16.9,77,usa,buick skylark,420.25,285.60999999999996
227,19.0,6,225.0,100.0,3630,17.7,77,usa,plymouth volare custom,361.0,313.28999999999996
228,18.5,6,250.0,98.0,3525,19.0,77,usa,ford granada,342.25,361.0
229,16.0,8,400.0,180.0,4220,11.1,77,usa,pontiac grand prix lj,256.0,123.21
230,15.5,8,350.0,170.0,4165,11.4,77,usa,chevrolet monte carlo landau,240.25,129.96
231,15.5,8,400.0,190.0,4325,12.2,77,usa,chrysler cordoba,240.25,148.83999999999997
232,16.0,8,351.0,149.0,4335,14.5,77,usa,ford thunderbird,256.0,210.25
233,29.0,4,97.0,78.0,1940,14.5,77,europe,volkswagen rabbit custom,841.0,210.25
234,24.5,4,151.0,88.0,2740,16.0,77,usa,pontiac sunbird coupe,600.25,256.0
235,26.0,4,97.0,75.0,2265,18.2,77,japan,toyota corolla liftback,676.0,331.23999999999995
236,25.5,4,140.0,89.0,2755,15.8,77,usa,ford mustang ii 2+2,650.25,249.64000000000001
237,30.5,4,98.0,63.0,2051,17.0,77,usa,chevrolet chevette,930.25,289.0
238,33.5,4,98.0,83.0,2075,15.9,77,usa,dodge colt m/m,1122.25,252.81
239,30.0,4,97.0,67.0,1985,16.4,77,japan,subaru dl,900.0,268.96
240,30.5,4,97.0,78.0,2190,14.1,77,europe,volkswagen dasher,930.25,198.81
241,22.0,6,146.0,97.0,2815,14.5,77,japan,datsun 810,484.0,210.25
242,21.5,4,121.0,110.0,2600,12.8,77,europe,bmw 320i,462.25,163.84000000000003
243,21.5,3,80.0,110.0,2720,13.5,77,japan,mazda rx-4,462.25,182.25
244,43.1,4,90.0,48.0,1985,21.5,78,europe,volkswagen rabbit custom diesel,1857.6100000000001,462.25
245,36.1,4,98.0,66.0,1800,14.4,78,usa,ford fiesta,1303.21,207.36
246,32.8,4,78.0,52.0,1985,19.4,78,japan,mazda glc deluxe,1075.84,376.35999999999996
247,39.4,4,85.0,70.0,2070,18.6,78,japan,datsun b210 gx,1552.36,345.96000000000004
248,36.1,4,91.0,60.0,1800,16.4,78,japan,honda civic cvcc,1303.21,268.96
249,19.9,8,260.0,110.0,3365,15.5,78,usa,oldsmobile cutlass salon brougham,396.00999999999993,240.25
250,19.4,8,318.0,140.0,3735,13.2,78,usa,dodge diplomat,376.35999999999996,174.23999999999998
251,20.2,8,302.0,139.0,3570,12.8,78,usa,mercury monarch ghia,408.03999999999996,163.84000000000003
252,19.2,6,231.0,105.0,3535,19.2,78,usa,pontiac phoenix lj,368.64,368.64
253,20.5,6,200.0,95.0,3155,18.2,78,usa,chevrolet malibu,420.25,331.23999999999995
254,20.2,6,200.0,85.0,2965,15.8,78,usa,ford fairmont (auto),408.03999999999996,249.64000000000001
255,25.1,4,140.0,88.0,2720,15.4,78,usa,ford fairmont (man),630.0100000000001,237.16000000000003
256,20.5,6,225.0,100.0,3430,17.2,78,usa,plymouth volare,420.25,295.84
257,19.4,6,232.0,90.0,3210,17.2,78,usa,amc concord,376.35999999999996,295.84
258,20.6,6,231.0,105.0,3380,15.8,78,usa,buick century special,424.36000000000007,249.64000000000001
259,20.8,6,200.0,85.0,3070,16.7,78,usa,mercury zephyr,432.64000000000004,278.89
260,18.6,6,225.0,110.0,3620,18.7,78,usa,dodge aspen,345.96000000000004,349.69
261,18.1,6,258.0,120.0,3410,15.1,78,usa,amc concord d/l,327.61000000000007,228.01
262,19.2,8,305.0,145.0,3425,13.2,78,usa,chevrolet monte carlo landau,368.64,174.23999999999998
263,17.7,6,231.0,165.0,3445,13.4,78,usa,buick regal sport coupe (turbo),313.28999999999996,179.56
264,18.1,8,302.0,139.0,3205,11.2,78,usa,ford futura,327.61000000000007,125.43999999999998
265,17.5,8,318.0,140.0,4080,13.7,78,usa,dodge magnum xe,306.25,187.68999999999997
266,30.0,4,98.0,68.0,2155,16.5,78,usa,chevrolet chevette,900.0,272.25
267,27.5,4,134.0,95.0,2560,14.2,78,japan,toyota corona,756.25,201.64
268,27.2,4,119.0,97.0,2300,14.7,78,japan,datsun 510,739.8399999999999,216.08999999999997
269,30.9,4,105.0,75.0,2230,14.5,78,usa,dodge omni,954.81,210.25
270,21.1,4,134.0,95.0,2515,14.8,78,japan,toyota celica gt liftback,445.21000000000004,219.04000000000002
271,23.2,4,156.0,105.0,2745,16.7,78,usa,plymouth sapporo,538.24,278.89
272,23.8,4,151.0,85.0,2855,17.6,78,usa,oldsmobile starfire sx,566.44,309.76000000000005
273,23.9,4,119.0,97.0,2405,14.9,78,japan,datsun 200-sx,571.2099999999999,222.01000000000002
274,20.3,5,131.0,103.0,2830,15.9,78,europe,audi 5000,412.09000000000003,252.81
275,17.0,6,163.0,125.0,3140,13.6,78,europe,volvo 264gl,289.0,184.95999999999998
276,21.6,4,121.0,115.0,2795,15.7,78,europe,saab 99gle,466.56000000000006,246.48999999999998
277,16.2,6,163.0,133.0,3410,15.8,78,europe,peugeot 604sl,262.44,249.64000000000001
278,31.5,4,89.0,71.0,1990,14.9,78,europe,volkswagen scirocco,992.25,222.01000000000002
279,29.5,4,98.0,68.0,2135,16.6,78,japan,honda accord lx,870.25,275.56000000000006
280,21.5,6,231.0,115.0,3245,15.4,79,usa,pontiac lemans v6,462.25,237.16000000000003
281,19.8,6,200.0,85.0,2990,18.2,79,usa,mercury zephyr 6,392.04,331.23999999999995
282,22.3,4,140.0,88.0,2890,17.3,79,usa,ford fairmont 4,497.29,299.29
283,20.2,6,232.0,90.0,3265,18.2,79,usa,amc concord dl 6,408.03999999999996,331.23999999999995
284,20.6,6,225.0,110.0,3360,16.6,79,usa,dodge aspen 6,424.36000000000007,275.56000000000006
285,17.0,8,305.0,130.0,3840,15.4,79,usa,chevrolet caprice classic,289.0,237.16000000000003
286,17.6,8,302.0,129.0,3725,13.4,79,usa,ford ltd landau,309.76000000000005,179.56
287,16.5,8,351.0,138.0,3955,13.2,79,usa,mercury grand marquis,272.25,174.23999999999998
288,18.2,8,318.0,135.0,3830,15.2,79,usa,dodge st. regis,331.23999999999995,231.04
289,16.9,8,350.0,155.0,4360,14.9,79,usa,buick estate wagon (sw),285.60999999999996,222.01000000000002
290,15.5,8,351.0,142.0,4054,14.3,79,usa,ford country squire (sw),240.25,204.49
291,19.2,8,267.0,125.0,3605,15.0,79,usa,chevrolet malibu classic (sw),368.64,225.0
292,18.5,8,360.0,150.0,3940,13.0,79,usa,chrysler lebaron town @ country (sw),342.25,169.0
293,31.9,4,89.0,71.0,1925,14.0,79,europe,vw rabbit custom,1017.6099999999999,196.0
294,34.1,4,86.0,65.0,1975,15.2,79,japan,maxda glc deluxe,1162.8100000000002,231.04
295,35.7,4,98.0,80.0,1915,14.4,79,usa,dodge colt hatchback custom,1274.4900000000002,207.36
296,27.4,4,121.0,80.0,2670,15.0,79,usa,amc spirit dl,750.7599999999999,225.0
297,25.4,5,183.0,77.0,3530,20.1,79,europe,mercedes benz 300d,645.16,404.01000000000005
298,23.0,8,350.0,125.0,3900,17.4,79,usa,cadillac eldorado,529.0,302.75999999999993
299,27.2,4,141.0,71.0,3190,24.8,79,europe,peugeot 504,739.8399999999999,615.0400000000001
300,23.9,8,260.0,90.0,3420,22.2,79,usa,oldsmobile cutlass salon brougham,571.2099999999999,492.84
301,34.2,4,105.0,70.0,2200,13.2,79,usa,plymouth horizon,1169.64,174.23999999999998
302,34.5,4,105.0,70.0,2150,14.9,79,usa,plymouth horizon tc3,1190.25,222.01000000000002
303,31.8,4,85.0,65.0,2020,19.2,79,japan,datsun 210,1011.24,368.64
304,37.3,4,91.0,69.0,2130,14.7,79,europe,fiat strada custom,1391.2899999999997,216.08999999999997
305,28.4,4,151.0,90.0,2670,16.0,79,usa,buick skylark limited,806.56,256.0
306,28.8,6,173.0,115.0,2595,11.3,79,usa,chevrolet citation,829.44,127.69000000000001
307,26.8,6,173.0,115.0,2700,12.9,79,usa,oldsmobile omega brougham,718.24,166.41
308,33.5,4,151.0,90.0,2556,13.2,79,usa,pontiac phoenix,1122.25,174.23999999999998
309,41.5,4,98.0,76.0,2144,14.7,80,europe,vw rabbit,1722.25,216.08999999999997
310,38.1,4,89.0,60.0,1968,18.8,80,japan,toyota corolla tercel,1451.6100000000001,353.44000000000005
311,32.1,4,98.0,70.0,2120,15.5,80,usa,chevrolet chevette,1030.41,240.25
312,37.2,4,86.0,65.0,2019,16.4,80,japan,datsun 310,1383.8400000000001,268.96
313,28.0,4,151.0,90.0,2678,16.5,80,usa,chevrolet citation,784.0,272.25
314,26.4,4,140.0,88.0,2870,18.1,80,usa,ford fairmont,696.9599999999999,327.61000000000007
315,24.3,4,151.0,90.0,3003,20.1,80,usa,amc concord,590.49,404.01000000000005
316,19.1,6,225.0,90.0,3381,18.7,80,usa,dodge aspen,364.81000000000006,349.69
317,34.3,4,97.0,78.0,2188,15.8,80,europe,audi 4000,1176.4899999999998,249.64000000000001
318,29.8,4,134.0,90.0,2711,15.5,80,japan,toyota corona liftback,888.0400000000001,240.25
319,31.3,4,120.0,75.0,2542,17.5,80,japan,mazda 626,979.69,306.25
320,37.0,4,119.0,92.0,2434,15.0,80,japan,datsun 510 hatchback,1369.0,225.0
321,32.2,4,108.0,75.0,2265,15.2,80,japan,toyota corolla,1036.8400000000001,231.04
322,46.6,4,86.0,65.0,2110,17.9,80,japan,mazda glc,2171.56,320.40999999999997
323,27.9,4,156.0,105.0,2800,14.4,80,usa,dodge colt,778.41,207.36
324,40.8,4,85.0,65.0,2110,19.2,80,japan,datsun 210,1664.6399999999999,368.64
325,44.3,4,90.0,48.0,2085,21.7,80,europe,vw rabbit c (diesel),1962.4899999999998,470.89
326,43.4,4,90.0,48.0,2335,23.7,80,europe,vw dasher (diesel),1883.56,561.6899999999999
327,36.4,5,121.0,67.0,2950,19.9,80,europe,audi 5000s (diesel),1324.9599999999998,396.00999999999993
328,30.0,4,146.0,67.0,3250,21.8,80,europe,mercedes-benz 240d,900.0,475.24
329,44.6,4,91.0,67.0,1850,13.8,80,japan,honda civic 1500 gl,1989.16,190.44000000000003
331,33.8,4,97.0,67.0,2145,18.0,80,japan,subaru dl,1142.4399999999998,324.0
332,29.8,4,89.0,62.0,1845,15.3,80,europe,vokswagen rabbit,888.0400000000001,234.09000000000003
333,32.7,6,168.0,132.0,2910,11.4,80,japan,datsun 280-zx,1069.2900000000002,129.96
334,23.7,3,70.0,100.0,2420,12.5,80,japan,mazda rx-7 gs,561.6899999999999,156.25
335,35.0,4,122.0,88.0,2500,15.1,80,europe,triumph tr7 coupe,1225.0,228.01
337,32.4,4,107.0,72.0,2290,17.0,80,japan,honda accord,1049.76,289.0
338,27.2,4,135.0,84.0,2490,15.7,81,usa,plymouth reliant,739.8399999999999,246.48999999999998
339,26.6,4,151.0,84.0,2635,16.4,81,usa,buick skylark,707.5600000000001,268.96
340,25.8,4,156.0,92.0,2620,14.4,81,usa,dodge aries wagon (sw),665.64,207.36
341,23.5,6,173.0,110.0,2725,12.6,81,usa,chevrolet citation,552.25,158.76
342,30.0,4,135.0,84.0,2385,12.9,81,usa,plymouth reliant,900.0,166.41
343,39.1,4,79.0,58.0,1755,16.9,81,japan,toyota starlet,1528.8100000000002,285.60999999999996
344,39.0,4,86.0,64.0,1875,16.4,81,usa,plymouth champ,1521.0,268.96
345,35.1,4,81.0,60.0,1760,16.1,81,japan,honda civic 1300,1232.01,259.21000000000004
346,32.3,4,97.0,67.0,2065,17.8,81,japan,subaru,1043.2899999999997,316.84000000000003
347,37.0,4,85.0,65.0,1975,19.4,81,japan,datsun 210 mpg,1369.0,376.35999999999996
348,37.7,4,89.0,62.0,2050,17.3,81,japan,toyota tercel,1421.2900000000002,299.29
349,34.1,4,91.0,68.0,1985,16.0,81,japan,mazda glc 4,1162.8100000000002,256.0
350,34.7,4,105.0,63.0,2215,14.9,81,usa,plymouth horizon 4,1204.0900000000001,222.01000000000002
351,34.4,4,98.0,65.0,2045,16.2,81,usa,ford escort 4w,1183.36,262.44
352,29.9,4,98.0,65.0,2380,20.7,81,usa,ford escort 2h,894.0099999999999,428.48999999999995
353,33.0,4,105.0,74.0,2190,14.2,81,europe,volkswagen jetta,1089.0,201.64
355,33.7,4,107.0,75.0,2210,14.4,81,japan,honda prelude,1135.6900000000003,207.36
356,32.4,4,108.0,75.0,2350,16.8,81,japan,toyota corolla,1049.76,282.24
357,32.9,4,119.0,100.0,2615,14.8,81,japan,datsun 200sx,1082.4099999999999,219.04000000000002
358,31.6,4,120.0,74.0,2635,18.3,81,japan,mazda 626,998.5600000000001,334.89000000000004
359,28.1,4,141.0,80.0,3230,20.4,81,europe,peugeot 505s turbo diesel,789.6100000000001,416.15999999999997
360,30.7,6,145.0,76.0,3160,19.6,81,europe,volvo diesel,942.49,384.1600000000001
361,25.4,6,168.0,116.0,2900,12.6,81,japan,toyota cressida,645.16,158.76
362,24.2,6,146.0,120.0,2930,13.8,81,japan,datsun 810 maxima,585.64,190.44000000000003
363,22.4,6,231.0,110.0,3415,15.8,81,usa,buick century,501.75999999999993,249.64000000000001
364,26.6,8,350.0,105.0,3725,19.0,81,usa,oldsmobile cutlass ls,707.5600000000001,361.0
365,20.2,6,200.0,88.0,3060,17.1,81,usa,ford granada gl,408.03999999999996,292.41
366,17.6,6,225.0,85.0,3465,16.6,81,usa,chrysler lebaron salon,309.76000000000005,275.56000000000006
367,28.0,4,112.0,88.0,2605,19.6,82,usa,chevrolet cavalier,784.0,384.1600000000001
368,27.0,4,112.0,88.0,2640,18.6,82,usa,chevrolet cavalier wagon,729.0,345.96000000000004
369,34.0,4,112.0,88.0,2395,18.0,82,usa,chevrolet cavalier 2-door,1156.0,324.0
370,31.0,4,112.0,85.0,2575,16.2,82,usa,pontiac j2000 se hatchback,961.0,262.44
371,29.0,4,135.0,84.0,2525,16.0,82,usa,dodge aries se,841.0,256.0
372,27.0,4,151.0,90.0,2735,18.0,82,usa,pontiac phoenix,729.0,324.0
373,24.0,4,140.0,92.0,2865,16.4,82,usa,ford fairmont futura,576.0,268.96
375,36.0,4,105.0,74.0,1980,15.3,82,europe,volkswagen rabbit l,1296.0,234.09000000000003
376,37.0,4,91.0,68.0,2025,18.2,82,japan,mazda glc custom l,1369.0,331.23999999999995
377,31.0,4,91.0,68.0,1970,17.6,82,japan,mazda glc custom,961.0,309.76000000000005
378,38.0,4,105.0,63.0,2125,14.7,82,usa,plymouth horizon miser,1444.0,216.08999999999997
379,36.0,4,98.0,70.0,2125,17.3,82,usa,mercury lynx l,1296.0,299.29
380,36.0,4,120.0,88.0,2160,14.5,82,japan,nissan stanza xe,1296.0,210.25
381,36.0,4,107.0,75.0,2205,14.5,82,japan,honda accord,1296.0,210.25
382,34.0,4,108.0,70.0,2245,16.9,82,japan,toyota corolla,1156.0,285.60999999999996
383,38.0,4,91.0,67.0,1965,15.0,82,japan,honda civic,1444.0,225.0
384,32.0,4,91.0,67.0,1965,15.7,82,japan,honda civic (auto),1024.0,246.48999999999998
385,38.0,4,91.0,67.0,1995,16.2,82,japan,datsun 310 gx,1444.0,262.44
386,25.0,6,181.0,110.0,2945,16.4,82,usa,buick century limited,625.0,268.96
387,38.0,6,262.0,85.0,3015,17.0,82,usa,oldsmobile cutlass ciera (diesel),1444.0,289.0
388,26.0,4,156.0,92.0,2585,14.5,82,usa,chrysler lebaron medallion,676.0,210.25
389,22.0,6,232.0,112.0,2835,14.7,82,usa,ford granada l,484.0,216.08999999999997
390,32.0,4,144.0,96.0,2665,13.9,82,japan,toyota celica gt,1024.0,193.21
391,36.0,4,135.0,84.0,2370,13.0,82,usa,dodge charger 2.2,1296.0,169.0
392,27.0,4,151.0,90.0,2950,17.3,82,usa,chevrolet camaro,729.0,299.29
393,27.0,4,140.0,86.0,2790,15.6,82,usa,ford mustang gl,729.0,243.35999999999999
394,44.0,4,97.0,52.0,2130,24.6,82,europe,vw pickup,1936.0,605.1600000000001
395,32.0,4,135.0,84.0,2295,11.6,82,usa,dodge rampage,1024.0,134.56
396,28.0,4,120.0,79.0,2625,18.6,82,usa,ford ranger,784.0,345.96000000000004
397,31.0,4,119.0,82.0,2720,19.4,82,usa,chevy s-10,961.0,376.35999999999996
32,25.0,4,98.0,61.81408489500464,2046,19.0,71,usa,ford pinto,625.0,361.0
126,21.0,6,200.0,92.18447009879205,2875,17.0,74,usa,ford maverick,441.0,289.0
330,40.9,4,85.0,59.525483858515514,1835,17.3,80,europe,renault lecar deluxe,1672.81,299.29
336,23.6,4,140.0,103.72927397538169,2905,14.3,80,usa,ford mustang cobra,556.96,204.49
354,34.5,4,100.0,75.42194865458279,2320,15.8,81,europe,renault 18i,1190.25,249.64000000000001
374,23.0,4,151.0,81.87711557035061,3035,20.5,82,usa,amc concord dl,529.0,420.25
